identifier	part_of	original_identifier	original_definition
unknown		unknown	
natural_dispersal		natural dispersal	
release		release	
release:biological_control	release	biological control	
release:erosion_control	release	erosion control/ dune stabilization	
release:fishery	release	fishery in the wild	
release:hunting	release	hunting	
release:landscape_improvement	release	landscape/flora/fauna “improvement” in the wild	
release:conservation	release	introduction for conservation purposes or wildlife management	
release:use	release	release in nature for use	
release:other	release	other intentional release	
escape		escape	
escape:agriculture	escape	agriculture	
escape:aquaculture	escape	aquaculture / mariculture	
escape:zoo	escape	botanical garden/zoo/aquaria	
escape:pet	escape	pet/aquarium/terrarium species	
escape:farm	escape	farmed animals	
escape:forestry	escape	forestry	
escape:fur_farm	escape	fur farms	
escape:horticulture	escape	horticulture	
escape:ornamental	escape	ornamental purpose other than horticulture	
escape:research	escape	research and ex-situ breeding	
escape:food_bait	escape	live food and live bait	
escape:other	escape	other escape from confinement	
contaminant		contaminant	
contaminant:nursery	contaminant	contaminant nursery material	
contaminant:bait	contaminant	contaminated bait	
contaminant:food	contaminant	food contaminant	
contaminant:on_animals	contaminant	contaminant on animals	
contaminant:animal_parasite	contaminant	parasites on animals	
contaminant:on_plants	contaminant	contaminant on plants	
contaminant:plant_parasite	contaminant	parasites on plants	
contaminant:seed	contaminant	seed contaminant	
contaminant:timber	contaminant	timber trade	
contaminant:habitat_material	contaminant	transportation of habitat material	
stowaway		stowaway	
stowaway:fishing_equipment	stowaway	angling/fishing equipment	
stowaway:container	stowaway	container/bulk	
stowaway:airplane	stowaway	hitchhikers in or on airplane	
stowaway:ship	stowaway	hitchhikers on ship/boat	
stowaway:machinery	stowaway	machinery/equipment	
stowaway:people_luggage	stowaway	people and their luggage/equipment	
stowaway:organic_packing	stowaway	organic packing material	
stowaway:ballast_water	stowaway	ship/boat ballast water	
stowaway:hull_fouling	stowaway	ship/boat hull fouling	
stowaway:vehicles	stowaway	vehicles	
stowaway:other	stowaway	other means of transport	
corridor		corridor	
corridor:water	corridor	interconnected waterways/basins/seas	
corridor:land	corridor	tunnels and land bridges	
unaided		unaided	
